divkFa,Nup,Ndown,x,scaled_E,corr_method,lsite
-1.0,57,7,0.12280701754385964,0.9745382417818366,Chevy-CCD,6
-1.0,57,7,0.12280701754385964,0.9744570704398473,Chevy-CCD,8
-1.0,57,7,0.12280701754385964,0.9745883109101258,Chevy-CCD,10
-1.0,57,7,0.12280701754385964,0.974658459698994,Chevy-CCD,12
-1.0,33,7,0.21212121212121213,0.9799858508100151,Chevy-CCD,6
-1.0,33,7,0.21212121212121213,0.9801712414266904,Chevy-CCD,8
-1.0,33,7,0.21212121212121213,0.9802530567283784,Chevy-CCD,10
-1.0,33,7,0.21212121212121213,0.9802794878426826,Chevy-CCD,12
-1.0,27,7,0.25925925925925924,0.9898283294126535,Chevy-CCD,6
-1.0,27,7,0.25925925925925924,0.9898859319492298,Chevy-CCD,8
-1.0,27,7,0.25925925925925924,0.9898638701227104,Chevy-CCD,10
-1.0,27,7,0.25925925925925924,0.9898410163969321,Chevy-CCD,12
-1.0,57,19,0.3333333333333333,1.0106934921441812,Chevy-CCD,6
-1.0,57,19,0.3333333333333333,1.010337382557019,Chevy-CCD,8
-1.0,57,19,0.3333333333333333,1.010710653699493,Chevy-CCD,10
-1.0,57,19,0.3333333333333333,1.0109034467602307,Chevy-CCD,12
-1.0,19,7,0.3684210526315789,1.0259840080100022,Chevy-CCD,6
-1.0,19,7,0.3684210526315789,1.0259150223914788,Chevy-CCD,8
-1.0,19,7,0.3684210526315789,1.0258153709690152,Chevy-CCD,10
-1.0,19,7,0.3684210526315789,1.025729835123567,Chevy-CCD,12
-1.0,57,27,0.47368421052631576,1.077571216494645,Chevy-CCD,6
-1.0,57,27,0.47368421052631576,1.076715835837956,Chevy-CCD,8
-1.0,57,27,0.47368421052631576,1.0772945278193107,Chevy-CCD,10
-1.0,57,27,0.47368421052631576,1.0775868072406574,Chevy-CCD,12
-1.0,33,19,0.5757575757575758,1.1448106874816215,Chevy-CCD,6
-1.0,33,19,0.5757575757575758,1.145143596144501,Chevy-CCD,8
-1.0,33,19,0.5757575757575758,1.1454417114093725,Chevy-CCD,10
-1.0,33,19,0.5757575757575758,1.1455311134887722,Chevy-CCD,12
-1.0,57,33,0.5789473684210527,1.146127011698715,Chevy-CCD,6
-1.0,57,33,0.5789473684210527,1.145001959066291,Chevy-CCD,8
-1.0,57,33,0.5789473684210527,1.1456997212367488,Chevy-CCD,10
-1.0,57,33,0.5789473684210527,1.1461284629900035,Chevy-CCD,12
-1.0,27,19,0.7037037037037037,1.25095487264339,Chevy-CCD,6
-1.0,27,19,0.7037037037037037,1.2516417663710284,Chevy-CCD,8
-1.0,27,19,0.7037037037037037,1.2517206857633512,Chevy-CCD,10
-1.0,27,19,0.7037037037037037,1.251704106527489,Chevy-CCD,12
-1.0,33,27,0.8181818181818182,1.361144356137774,Chevy-CCD,6
-1.0,33,27,0.8181818181818182,1.361497563424053,Chevy-CCD,8
-1.0,33,27,0.8181818181818182,1.3620466496391412,Chevy-CCD,10
-1.0,33,27,0.8181818181818182,1.3622248538867123,Chevy-CCD,12
-1.0,57,7,0.12280701754385964,0.9762896632292846,Chevy-CID,6
-1.0,57,7,0.12280701754385964,0.977444032340651,Chevy-CID,8
-1.0,57,7,0.12280701754385964,0.9785050307739197,Chevy-CID,10
-1.0,33,7,0.21212121212121213,0.983853255111504,Chevy-CID,6
-1.0,33,7,0.21212121212121213,0.9860379014087097,Chevy-CID,8
-1.0,33,7,0.21212121212121213,0.9877013710504955,Chevy-CID,10
-1.0,27,7,0.25925925925925924,0.994648905341451,Chevy-CID,6
-1.0,27,7,0.25925925925925924,0.9972036589114972,Chevy-CID,8
-1.0,27,7,0.25925925925925924,0.9991047494421708,Chevy-CID,10
-1.0,57,19,0.3333333333333333,1.0189665087415392,Chevy-CID,6
-1.0,57,19,0.3333333333333333,1.0245450671063179,Chevy-CID,8
-1.0,57,19,0.3333333333333333,1.0292275837944138,Chevy-CID,10
-1.0,57,19,0.3333333333333333,1.0292275837943816,Chevy-CID,10
-1.0,19,7,0.3684210526315789,1.0340046266988014,Chevy-CID,6
-1.0,19,7,0.3684210526315789,1.0374637636571236,Chevy-CID,8
-1.0,19,7,0.3684210526315789,1.0399902747473755,Chevy-CID,10
-1.0,57,27,0.47368421052631576,1.0904248742734861,Chevy-CID,6
-1.0,57,27,0.47368421052631576,1.0994891052287374,Chevy-CID,8
-1.0,33,19,0.5757575757575758,1.1625747641279485,Chevy-CID,6
-1.0,33,19,0.5757575757575758,1.1723543232659095,Chevy-CID,8
-1.0,33,19,0.5757575757575758,1.179799983695605,Chevy-CID,10
-1.0,27,19,0.7037037037037037,1.272811831550599,Chevy-CID,6
-1.0,27,19,0.7037037037037037,1.2845924261944273,Chevy-CID,8
-1.0,27,19,0.7037037037037037,1.2932332159911972,Chevy-CID,10
-1.0,33,27,0.8181818181818182,1.388278796662974,Chevy-CID,6
-1.0,33,27,0.8181818181818182,1.4039039919616472,Chevy-CID,8
-1.0,33,27,0.8181818181818182,1.4158344146555117,Chevy-CID,10
-1.0,57,7,0.12280701754385964,0.9720704892498875,ppRPA,6
-1.0,57,7,0.12280701754385964,0.971435366928196,ppRPA,8
-1.0,57,7,0.12280701754385964,0.9712125324909325,ppRPA,10
-1.0,57,7,0.12280701754385964,0.9710061436506363,ppRPA,12
-1.0,33,7,0.21212121212121213,0.9754395481017891,ppRPA,6
-1.0,33,7,0.21212121212121213,0.9748386368668266,ppRPA,8
-1.0,33,7,0.21212121212121213,0.974301744695175,ppRPA,10
-1.0,33,7,0.21212121212121213,0.9738759169987286,ppRPA,12
-1.0,27,7,0.25925925925925924,0.984412844731482,ppRPA,6
-1.0,27,7,0.25925925925925924,0.983347145722361,ppRPA,8
-1.0,27,7,0.25925925925925924,0.9825484211696528,ppRPA,10
-1.0,27,7,0.25925925925925924,0.9819784189957937,ppRPA,12
-1.0,57,19,0.3333333333333333,1.0038393660146598,ppRPA,6
-1.0,57,19,0.3333333333333333,1.0017783053316003,ppRPA,8
-1.0,57,19,0.3333333333333333,1.001083298828524,ppRPA,10
-1.0,57,19,0.3333333333333333,1.0004093927150248,ppRPA,12
-1.0,19,7,0.3684210526315789,1.0168804219522973,ppRPA,6
-1.0,19,7,0.3684210526315789,1.0150684825309617,ppRPA,8
-1.0,19,7,0.3684210526315789,1.0137979295626511,ppRPA,10
-1.0,19,7,0.3684210526315789,1.0129043250646976,ppRPA,12
-1.0,57,27,0.47368421052631576,1.0682746185715872,ppRPA,6
-1.0,57,27,0.47368421052631576,1.064445157299375,ppRPA,8
-1.0,57,27,0.47368421052631576,1.0634524792218472,ppRPA,10
-1.0,57,27,0.47368421052631576,1.062425461996873,ppRPA,12
-1.0,33,19,0.5757575757575758,1.1312485215661776,ppRPA,6
-1.0,33,19,0.5757575757575758,1.128785048232178,ppRPA,8
-1.0,33,19,0.5757575757575758,1.1269659379501116,ppRPA,10
-1.0,33,19,0.5757575757575758,1.1254541287662958,ppRPA,12
-1.0,57,33,0.5789473684210527,1.1336769930866888,ppRPA,6
-1.0,57,33,0.5789473684210527,1.1286253017759742,ppRPA,8
-1.0,57,33,0.5789473684210527,1.1272308282096462,ppRPA,10
-1.0,57,33,0.5789473684210527,1.1258715686687393,ppRPA,12
-1.0,27,19,0.7037037037037037,1.2347319300850081,ppRPA,6
-1.0,27,19,0.7037037037037037,1.2320154337195104,ppRPA,8
-1.0,27,19,0.7037037037037037,1.2293756288369915,ppRPA,10
-1.0,27,19,0.7037037037037037,1.227391679042502,ppRPA,12
-1.0,33,27,0.8181818181818182,1.3418755628879693,ppRPA,6
-1.0,33,27,0.8181818181818182,1.3376831904769828,ppRPA,8
-1.0,33,27,0.8181818181818182,1.3348595539044354,ppRPA,10
-1.0,33,27,0.8181818181818182,1.332407568536484,ppRPA,12
-0.5,57,7,0.12280701754385964,0.9497665895473423,Chevy-CCD,6
-0.5,57,7,0.12280701754385964,0.9499937970674277,Chevy-CCD,8
-0.5,57,7,0.12280701754385964,0.9504853680053131,Chevy-CCD,10
-0.5,57,7,0.12280701754385964,0.9507842552341197,Chevy-CCD,12
-0.5,33,7,0.21212121212121213,0.9384201247480138,Chevy-CCD,6
-0.5,33,7,0.21212121212121213,0.9393110896806883,Chevy-CCD,8
-0.5,33,7,0.21212121212121213,0.939811963399356,Chevy-CCD,10
-0.5,33,7,0.21212121212121213,0.9400905245767526,Chevy-CCD,12
-0.5,27,7,0.25925925925925924,0.9401321306568292,Chevy-CCD,6
-0.5,27,7,0.25925925925925924,0.940871967377497,Chevy-CCD,8
-0.5,27,7,0.25925925925925924,0.9412271599169947,Chevy-CCD,10
-0.5,27,7,0.25925925925925924,0.941439925849576,Chevy-CCD,12
-0.5,57,19,0.3333333333333333,0.9453251001840766,Chevy-CCD,6
-0.5,57,19,0.3333333333333333,0.9456880599557893,Chevy-CCD,8
-0.5,57,19,0.3333333333333333,0.9469954575215679,Chevy-CCD,10
-0.5,57,19,0.3333333333333333,0.9477868656187789,Chevy-CCD,12
-0.5,19,7,0.3684210526315789,0.9567040888273628,Chevy-CCD,6
-0.5,19,7,0.3684210526315789,0.9573624368684528,Chevy-CCD,8
-0.5,19,7,0.3684210526315789,0.9576587072510983,Chevy-CCD,10
-0.5,19,7,0.3684210526315789,0.9578264895392946,Chevy-CCD,12
-0.5,57,27,0.47368421052631576,0.9868251385201199,Chevy-CCD,6
-0.5,57,27,0.47368421052631576,0.9867647548313973,Chevy-CCD,8
-0.5,57,27,0.47368421052631576,0.9886632751822162,Chevy-CCD,10
-0.5,57,27,0.47368421052631576,0.9898032909952577,Chevy-CCD,12
-0.5,33,19,0.5757575757575758,1.0375804212136657,Chevy-CCD,6
-0.5,33,19,0.5757575757575758,1.0395276825030766,Chevy-CCD,8
-0.5,33,19,0.5757575757575758,1.0409467281633304,Chevy-CCD,10
-0.5,33,19,0.5757575757575758,1.0417109132322604,Chevy-CCD,12
-0.5,57,33,0.5789473684210527,1.036348690027883,Chevy-CCD,6
-0.5,57,33,0.5789473684210527,1.036159437544486,Chevy-CCD,8
-0.5,57,33,0.5789473684210527,1.0383891851507399,Chevy-CCD,10
-0.5,57,33,0.5789473684210527,1.0398699869526875,Chevy-CCD,12
-0.5,27,19,0.7037037037037037,1.123975909804563,Chevy-CCD,6
-0.5,27,19,0.7037037037037037,1.1266723711394846,Chevy-CCD,8
-0.5,27,19,0.7037037037037037,1.1277940621794271,Chevy-CCD,10
-0.5,27,19,0.7037037037037037,1.1284214224869302,Chevy-CCD,12
-0.5,33,27,0.8181818181818182,1.214225000071844,Chevy-CCD,6
-0.5,33,27,0.8181818181818182,1.2165954814214799,Chevy-CCD,8
-0.5,33,27,0.8181818181818182,1.2186874102499075,Chevy-CCD,10
-0.5,33,27,0.8181818181818182,1.2198002258477114,Chevy-CCD,12
-0.5,57,7,0.12280701754385964,0.954506976967556,Chevy-CID,6
-0.5,57,7,0.12280701754385964,0.9577605559861522,Chevy-CID,8
-0.5,57,7,0.12280701754385964,0.9603185140952405,Chevy-CID,10
-0.5,33,7,0.21212121212121213,0.9488193178145601,Chevy-CID,6
-0.5,33,7,0.21212121212121213,0.9543599912633172,Chevy-CID,8
-0.5,33,7,0.21212121212121213,0.9582358783465242,Chevy-CID,10
-0.5,27,7,0.25925925925925924,0.9530862160651892,Chevy-CID,6
-0.5,27,7,0.25925925925925924,0.9595321056380988,Chevy-CID,8
-0.5,27,7,0.25925925925925924,0.9639459398169401,Chevy-CID,10
-0.5,57,19,0.3333333333333333,0.9655824699134599,Chevy-CID,6
-0.5,57,19,0.3333333333333333,0.9790013309594088,Chevy-CID,8
-0.5,19,7,0.3684210526315789,0.9776917149662787,Chevy-CID,6
-0.5,19,7,0.3684210526315789,0.986147055771331,Chevy-CID,8
-0.5,19,7,0.3684210526315789,0.9918426550042144,Chevy-CID,10
-0.5,57,27,0.47368421052631576,1.017335764375811,Chevy-CID,6
-0.5,57,27,0.47368421052631576,1.0383161611662153,Chevy-CID,8
-0.5,33,19,0.5757575757575758,1.0801148445438962,Chevy-CID,6
-0.5,33,19,0.5757575757575758,1.1018094058617,Chevy-CID,8
-0.5,33,19,0.5757575757575758,1.1168987105139332,Chevy-CID,10
-0.5,27,19,0.7037037037037037,1.1762869374235125,Chevy-CID,6
-0.5,27,19,0.7037037037037037,1.2018158684429494,Chevy-CID,8
-0.5,27,19,0.7037037037037037,1.2191396340890472,Chevy-CID,10
-0.5,33,27,0.8181818181818182,1.2770468678196258,Chevy-CID,6
-0.5,33,27,0.8181818181818182,1.3105083764576284,Chevy-CID,8
-0.5,33,27,0.8181818181818182,1.3338114554556866,Chevy-CID,10
-0.5,57,7,0.12280701754385964,0.9421445016436495,ppRPA,6
-0.5,57,7,0.12280701754385964,0.9405850135750399,ppRPA,8
-0.5,57,7,0.12280701754385964,0.9399826003325338,ppRPA,10
-0.5,57,7,0.12280701754385964,0.9394299195088013,ppRPA,12
-0.5,33,7,0.21212121212121213,0.924306348993208,ppRPA,6
-0.5,33,7,0.21212121212121213,0.9227730227583494,ppRPA,8
-0.5,33,7,0.21212121212121213,0.9213207509594863,ppRPA,10
-0.5,33,7,0.21212121212121213,0.9201608080021026,ppRPA,12
-0.5,27,7,0.25925925925925924,0.923582916747331,ppRPA,6
-0.5,27,7,0.25925925925925924,0.9207471996769317,ppRPA,8
-0.5,27,7,0.25925925925925924,0.9186281970452848,ppRPA,10
-0.5,27,7,0.25925925925925924,0.9170994762057887,ppRPA,12
-0.5,57,19,0.3333333333333333,0.9237815243546069,ppRPA,6
-0.5,57,19,0.3333333333333333,0.9185947262348868,ppRPA,8
-0.5,57,19,0.3333333333333333,0.9162665946138059,ppRPA,10
-0.5,57,19,0.3333333333333333,0.9140852250195995,ppRPA,12
-0.5,19,7,0.3684210526315789,0.928092532097897,ppRPA,6
-0.5,19,7,0.3684210526315789,0.9227650152527922,ppRPA,8
