divkFa,P,x
-0.3,0.09999999999999996,0.8181818181818183
0.0,0.17391304347826086,0.7037037037037038
0.18,0.2692307692307692,0.5757575757575758
0.3,0.3571428571428572,0.4736842105263157
0.5,0.4615384615384615,0.36842105263157904
0.4,0.5000000000000001,0.33333333333333326
0.71,0.588235294117647,0.25925925925925936
0.65,0.6499999999999999,0.21212121212121218
0.65,0.7812500000000001,0.12280701754385959
